element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
Cu,10,4,10 (NRx1),95,184.207,8.302,18.014,13.158,6.868
Cu,10,4,11,107.5,184.082,0.37,23.219,11.794,16.157
Cu,10,4,12,120,183.957,18.406,2.108,10.257,11.524
Fe,1,1,1,2.73,184.864,2341.02,654.657,1497.839,1192.439
Fe,1,1,2,16.36,184.727,2095.295,2988.81,2542.052,631.811
Fe,1,1,3,30,184.591,1513.311,3184.292,2348.802,1181.562
Fe,1,2,4,39.31,184.498,1735.524,4720.875,3228.2,2110.962
Fe,1,2,5,49.66,184.394,1791.792,3224.729,2508.261,1013.239
Fe,1,2,6,60,184.291,2240.721,4094.235,3167.478,1310.632
Fe,1,3,8,75,184.141,3417.195,6978.963,5198.079,2518.55
Fe,1,3,9,90,183.991,6269.399,9745.896,8007.648,2458.254
Fe,1,4,10,100,183.891,4352.933,8111.909,6232.421,2657.998
Fe,1,4,11,110,183.791,4055.947,4502.006,4278.976,315.412
Fe,1,4,12,120,183.691,4785.938,10053.515,7419.726,3724.739
Fe,2,1,1 (2 Samples),0,184.807,3498.487,1149.283,2323.885,1661.138
Fe,2,1,2,15,184.657,3996.375,4644.62,4320.497,458.378
Fe,2,2,4,40,184.407,1868.985,3053.795,2461.39,837.787
Fe,2,2,5,50,184.307,1697.632,,1697.632,
Fe,2,2,6,60,184.207,1686.621,7677.426,4682.024,4236.139
Fe,2,3,7,70,184.107,3454.837,8105.462,5780.15,3288.488
Fe,2,3,8,80,184.007,2784.238,6343.511,4563.875,2516.786
Fe,2,3,9,90,183.907,2308.445,4161.616,3235.031,1310.39
Fe,2,4,10,100,183.807,2312.62,6875.498,4594.059,3226.442
Fe,2,4,11,110,183.707,3681.908,8313.884,5997.896,3275.302
Fe,2,4,12,120,183.607,3643.771,7526.304,5585.037,2745.366
Fe,3,1,2,14.21,184.728,2999.668,4402.687,3701.178,992.085
Fe,3,1,Missing,30,184.57,2825.83,,2825.83,
Fe,3,2,5,45,184.42,1452.361,2758.011,2105.186,923.234
Fe,3,2,6,60,184.27,2106.812,3868.407,2987.61,1245.636
Fe,3,3,8,75,184.12,2505.909,4203.241,3354.575,1200.195
Fe,3,3,9,90,183.97,1793.837,2942.721,2368.279,812.384
Fe,3,4,10,100,183.87,1210.933,2922.344,2066.639,1210.15
Fe,3,4,11,110,183.77,1105.547,3017.565,2061.556,1352.001
Fe,3,4,12,120,183.67,1497.267,3469.865,2483.566,1394.837
Fe,4,1,2,14.21,184.609,3706.764,4427.394,4067.079,509.563
Fe,4,1,3,30,184.451,1750.317,4576.108,3163.213,1998.136
Fe,4,2,5,41.25,184.339,1977.678,4630.371,3304.024,1875.737
Fe,4,2,6,60,184.151,2527.486,5952.69,4240.088,2421.985
Fe,4,3,8,75.71,183.994,3792.375,13995.759,8894.067,7214.882
Fe,4,3,9,90,183.851,2473.933,7401.446,4937.69,3484.278
Fe,4,4,10,100,183.751,3582.813,9515.963,6549.388,4195.371
Fe,4,4,11,110,183.651,2358.92,6282.047,4320.483,2774.069
Fe,4,4,12,120,183.551,2521.49,5361.726,3941.608,2008.35
Fe,5,1,1,5,184.752,3736.095,3105.286,3420.691,446.049
Fe,5,1,2,17.5,184.627,2096.821,3427.788,2762.305,941.136
Fe,5,1,3,30,184.502,1444.847,2639.603,2042.225,844.82
Fe,5,2,4,36.92,184.433,1293.542,2818.527,2056.035,1078.327
Fe,5,2,5,48.46,184.317,1916.946,2977.022,2446.984,749.587
Fe,5,2,6,60,184.202,3430.991,3248.093,3339.542,129.329
Fe,5,3,7,66,184.142,1681.587,3248.093,2464.84,1107.687
Fe,5,3,8,78,184.022,3188.924,7140.962,5164.943,2794.513
Fe,5,3,9,90,183.902,1842.87,4924.933,3383.901,2179.348
Fe,5,4,10,98.57,183.816,1179.508,2647.705,1913.606,1038.172
Fe,5,4,11,109.29,183.709,1087.411,3284.332,2185.871,1553.458
Fe,5,4,12,120,183.602,1340.731,3520.473,2430.602,1541.31
Fe,6,1,1,8.57,185.017,2104.244,,2104.244,
Fe,6,1,2,19.29,184.91,2136.729,3553.088,2844.909,1001.517
Fe,6,1,3,30,184.803,1246.893,,1246.893,
Fe,6,2,4,37.78,184.725,1314.212,3337.237,2325.724,1430.495
Fe,6,2,5,48.89,184.614,874.05,2475.768,1674.909,1132.586
Fe,6,2,6,60,184.503,869.592,2900.963,1885.278,1436.396
Fe,6,3,8,75.71,184.346,963.7,3229.814,2096.757,1602.384
Fe,6,3,9,90,184.203,1062.467,3162.605,2112.536,1485.022
Fe,6,4,10,97.78,184.125,2147.47,3274.586,2711.028,796.991
